,key,year,state_abbr,state,ethnicity,percentage
369,2016GA,2016,GA,Georgia,Hispanic,0.2
370,2016GA,2016,GA,Georgia,Native,N/A
371,2016GA,2016,GA,Georgia,Other,N/A
372,2016HI,2016,HI,Hawaii,Black,N/A
373,2016HI,2016,HI,Hawaii,White,N/A
374,2016HI,2016,HI,Hawaii,Asian,0.0
375,2016HI,2016,HI,Hawaii,Hispanic,N/A
376,2016HI,2016,HI,Hawaii,Native,N/A
377,2016HI,2016,HI,Hawaii,Other,0.0
378,2016IA,2016,IA,Iowa,Black,0.0
379,2016IA,2016,IA,Iowa,White,0.0
380,2016IA,2016,IA,Iowa,Asian,N/A
381,2016IA,2016,IA,Iowa,Hispanic,N/A
382,2016IA,2016,IA,Iowa,Native,N/A
383,2016IA,2016,IA,Iowa,Other,N/A
384,2016ID,2016,ID,Idaho,Black,N/A
385,2016ID,2016,ID,Idaho,White,0.0
386,2016ID,2016,ID,Idaho,Asian,N/A
387,2016ID,2016,ID,Idaho,Hispanic,0.0
388,2016ID,2016,ID,Idaho,Native,N/A
389,2016ID,2016,ID,Idaho,Other,N/A
390,2016IL,2016,IL,Illinois,Black,0.0
391,2016IL,2016,IL,Illinois,White,0.0
392,2016IL,2016,IL,Illinois,Asian,N/A
393,2016IL,2016,IL,Illinois,Hispanic,0.0
394,2016IL,2016,IL,Illinois,Native,N/A
395,2016IL,2016,IL,Illinois,Other,N/A
396,2016IN,2016,IN,Indiana,Black,0.25
397,2016IN,2016,IN,Indiana,White,0.0
398,2016IN,2016,IN,Indiana,Asian,N/A
399,2016IN,2016,IN,Indiana,Hispanic,0.0
400,2016IN,2016,IN,Indiana,Native,N/A
401,2016IN,2016,IN,Indiana,Other,N/A
402,2016KS,2016,KS,Kansas,Black,0.0
403,2016KS,2016,KS,Kansas,White,0.2222222222222222
404,2016KS,2016,KS,Kansas,Asian,N/A
405,2016KS,2016,KS,Kansas,Hispanic,N/A
406,2016KS,2016,KS,Kansas,Native,N/A
407,2016KS,2016,KS,Kansas,Other,N/A
408,2016KY,2016,KY,Kentucky,Black,0.0
409,2016KY,2016,KY,Kentucky,White,0.06666666666666667
410,2016KY,2016,KY,Kentucky,Asian,N/A
411,2016KY,2016,KY,Kentucky,Hispanic,0.0
412,2016KY,2016,KY,Kentucky,Native,N/A
413,2016KY,2016,KY,Kentucky,Other,N/A
414,2016LA,2016,LA,Louisiana,Black,0.0
415,2016LA,2016,LA,Louisiana,White,0.0
416,2016LA,2016,LA,Louisiana,Asian,N/A
417,2016LA,2016,LA,Louisiana,Hispanic,N/A
418,2016LA,2016,LA,Louisiana,Native,N/A
419,2016LA,2016,LA,Louisiana,Other,N/A
420,2016MA,2016,MA,Massachusetts,Black,0.0
421,2016MA,2016,MA,Massachusetts,White,0.0
422,2016MA,2016,MA,Massachusetts,Asian,N/A
423,2016MA,2016,MA,Massachusetts,Hispanic,0.0
424,2016MA,2016,MA,Massachusetts,Native,N/A
425,2016MA,2016,MA,Massachusetts,Other,N/A
426,2016MD,2016,MD,Maryland,Black,0.0
427,2016MD,2016,MD,Maryland,White,0.2
428,2016MD,2016,MD,Maryland,Asian,N/A
429,2016MD,2016,MD,Maryland,Hispanic,N/A
430,2016MD,2016,MD,Maryland,Native,N/A
431,2016MD,2016,MD,Maryland,Other,N/A
432,2016ME,2016,ME,Maine,Black,N/A
433,2016ME,2016,ME,Maine,White,0.0
434,2016ME,2016,ME,Maine,Asian,N/A
435,2016ME,2016,ME,Maine,Hispanic,N/A
436,2016ME,2016,ME,Maine,Native,N/A
437,2016ME,2016,ME,Maine,Other,0.0
438,2016MI,2016,MI,Michigan,Black,0.0
439,2016MI,2016,MI,Michigan,White,0.0
440,2016MI,2016,MI,Michigan,Asian,N/A
441,2016MI,2016,MI,Michigan,Hispanic,0.0
442,2016MI,2016,MI,Michigan,Native,N/A
443,2016MI,2016,MI,Michigan,Other,N/A
444,2016MN,2016,MN,Minnesota,Black,0.0
445,2016MN,2016,MN,Minnesota,White,0.1111111111111111
446,2016MN,2016,MN,Minnesota,Asian,0.0
447,2016MN,2016,MN,Minnesota,Hispanic,0.0
448,2016MN,2016,MN,Minnesota,Native,N/A
449,2016MN,2016,MN,Minnesota,Other,0.0
450,2016MO,2016,MO,Missouri,Black,0.0
451,2016MO,2016,MO,Missouri,White,0.0
452,2016MO,2016,MO,Missouri,Asian,N/A
453,2016MO,2016,MO,Missouri,Hispanic,0.0
454,2016MO,2016,MO,Missouri,Native,N/A
455,2016MO,2016,MO,Missouri,Other,N/A
456,2016MS,2016,MS,Mississippi,Black,0.25
457,2016MS,2016,MS,Mississippi,White,0.25
458,2016MS,2016,MS,Mississippi,Asian,N/A
459,2016MS,2016,MS,Mississippi,Hispanic,N/A
460,2016MS,2016,MS,Mississippi,Native,N/A
461,2016MS,2016,MS,Mississippi,Other,N/A
462,2016MT,2016,MT,Montana,Black,N/A
463,2016MT,2016,MT,Montana,White,0.0
464,2016MT,2016,MT,Montana,Asian,N/A
465,2016MT,2016,MT,Montana,Hispanic,N/A
466,2016MT,2016,MT,Montana,Native,N/A
467,2016MT,2016,MT,Montana,Other,N/A
468,2016NC,2016,NC,North Carolina,Black,0.0
469,2016NC,2016,NC,North Carolina,White,0.11764705882352941
470,2016NC,2016,NC,North Carolina,Asian,0.0
471,2016NC,2016,NC,North Carolina,Hispanic,0.0
472,2016NC,2016,NC,North Carolina,Native,N/A
473,2016NC,2016,NC,North Carolina,Other,N/A
474,2016ND,2016,ND,North Dakota,Black,N/A
475,2016ND,2016,ND,North Dakota,White,1.0
476,2016ND,2016,ND,North Dakota,Asian,N/A
477,2016ND,2016,ND,North Dakota,Hispanic,N/A
478,2016ND,2016,ND,North Dakota,Native,N/A
479,2016ND,2016,ND,North Dakota,Other,N/A
480,2016NE,2016,NE,Nebraska,Black,0.0
481,2016NE,2016,NE,Nebraska,White,0.2
482,2016NE,2016,NE,Nebraska,Asian,N/A
483,2016NE,2016,NE,Nebraska,Hispanic,N/A
484,2016NE,2016,NE,Nebraska,Native,N/A
485,2016NE,2016,NE,Nebraska,Other,N/A
486,2016NH,2016,NH,New Hampshire,Black,N/A
487,2016NH,2016,NH,New Hampshire,White,0.0
488,2016NH,2016,NH,New Hampshire,Asian,N/A
489,2016NH,2016,NH,New Hampshire,Hispanic,N/A
490,2016NH,2016,NH,New Hampshire,Native,N/A
491,2016NH,2016,NH,New Hampshire,Other,N/A
492,2016NJ,2016,NJ,New Jersey,Black,0.0
493,2016NJ,2016,NJ,New Jersey,White,0.0
494,2016NJ,2016,NJ,New Jersey,Asian,0.0
495,2016NJ,2016,NJ,New Jersey,Hispanic,N/A
496,2016NJ,2016,NJ,New Jersey,Native,N/A
497,2016NJ,2016,NJ,New Jersey,Other,N/A
498,2016NM,2016,NM,New Mexico,Black,N/A
499,2016NM,2016,NM,New Mexico,White,0.0
500,2016NM,2016,NM,New Mexico,Asian,N/A
501,2016NM,2016,NM,New Mexico,Hispanic,0.0
502,2016NM,2016,NM,New Mexico,Native,0.0
503,2016NM,2016,NM,New Mexico,Other,N/A
504,2016NV,2016,NV,Nevada,Black,0.0
505,2016NV,2016,NV,Nevada,White,0.0
506,2016NV,2016,NV,Nevada,Asian,N/A
507,2016NV,2016,NV,Nevada,Hispanic,0.14285714285714285
508,2016NV,2016,NV,Nevada,Native,N/A
509,2016NV,2016,NV,Nevada,Other,N/A
510,2016NY,2016,NY,New York,Black,0.0
511,2016NY,2016,NY,New York,White,0.0
512,2016NY,2016,NY,New York,Asian,N/A
513,2016NY,2016,NY,New York,Hispanic,0.0
514,2016NY,2016,NY,New York,Native,N/A
515,2016NY,2016,NY,New York,Other,N/A
516,2016OH,2016,OH,Ohio,Black,0.0
517,2016OH,2016,OH,Ohio,White,0.0
