manner_of_death,armed,age,gender,race,city,state,flee,body_camera,arms_category,year
shot,gun,22,M,Black,Wythe County,VA,Not fleeing,FALSE,Guns,2018
shot,gun,59,M,White,Auburn,MA,Not fleeing,FALSE,Guns,2018
shot,knife,29,M,White,Spartanburg,SC,Not fleeing,FALSE,Sharp objects,2018
shot,gun,18,M,Black,Centennial,CO,Not fleeing,FALSE,Guns,2018
shot,straight edge razor,29,M,Hispanic,Hayward,CA,Not fleeing,FALSE,Sharp objects,2018
shot,knife,25,M,Black,Augusta,GA,Not fleeing,FALSE,Sharp objects,2018
shot,metal pipe,48,M,White,Paradise,CA,Car,FALSE,Blunt instruments,2018
shot,gun,60,M,White,Demopolis,AL,Not fleeing,FALSE,Guns,2018
shot,vehicle,27,M,Black,Fort Pierce,FL,Car,FALSE,Vehicles,2018
shot,gun,65,M,White,Indianapolis,IN,Not fleeing,FALSE,Guns,2018
shot,vehicle,41,M,White,Meridian,ID,Car,FALSE,Vehicles,2018
shot,gun,33,M,Black,Magnolia,AR,Not fleeing,FALSE,Guns,2018
shot,vehicle,33,M,Black,Magnolia,AR,Not fleeing,FALSE,Vehicles,2018
shot,knife,22,M,White,Stillwater,MN,Not fleeing,TRUE,Sharp objects,2018
shot,gun,52,M,White,Franklinton,OH,Not fleeing,FALSE,Guns,2018
shot,gun,42,M,White,Lincoln Township,MI,Not fleeing,FALSE,Guns,2018
shot,gun,48,M,Black,Talladega,AL,Not fleeing,FALSE,Guns,2018
shot,knife,24,M,Hispanic,Bell Gardens,CA,Not fleeing,FALSE,Sharp objects,2018
shot,gun,21,M,Black,Hoover,AL,Not fleeing,FALSE,Guns,2018
shot,machete,20,M,White,Palmer,AK,Foot,FALSE,Sharp objects,2018
shot,gun,59,M,White,Gunnison County,CO,Not fleeing,FALSE,Guns,2018
shot,gun,46,M,White,Bremen,KY,Not fleeing,FALSE,Guns,2018
shot,gun,23,M,Black,Detroit,MI,Not fleeing,FALSE,Guns,2018
shot,vehicle,32,M,Hispanic,South Salt Lake,UT,Car,FALSE,Vehicles,2018
shot,gun,19,M,White,Centennial,CO,Car,TRUE,Guns,2018
shot,gun,64,M,White,Clinton,UT,Not fleeing,FALSE,Guns,2018
shot,vehicle,35,M,Black,Topeka,KS,Car,FALSE,Vehicles,2018
shot,knife,41,M,White,Virginia,MN,Other,FALSE,Sharp objects,2018
shot,gun,42,M,Asian,Honolulu,HI,Not fleeing,FALSE,Guns,2018
shot,gun,35,M,White,Louisville,KY,Other,TRUE,Guns,2018
shot,vehicle,33,M,Hispanic,Vancouver,WA,Car,FALSE,Vehicles,2018
shot,gun,32,M,Native,Bemidji,MN,Not fleeing,TRUE,Guns,2018
shot,unknown,37,M,White,Old Town,ME,Not fleeing,FALSE,Unknown,2018
shot,gun,37,M,Hispanic,Ogden,UT,Not fleeing,TRUE,Guns,2018
shot,meat cleaver,65,M,Black,Pensacola,FL,Not fleeing,FALSE,Sharp objects,2018
shot,straight edge razor,30,M,Black,Tamarac,FL,Not fleeing,FALSE,Sharp objects,2018
